card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-9334-8921-1972,146,03/26,581-66-5145,D8634859,P9947797,89867649,255020994,DE765590265822463268,PT409429,ICD10-F47.6,MED617
4111-6806-5325-9211,892,09/31,709-70-9719,D9906904,P2957182,69454683,533441332,DE351914378201230126,PT745505,ICD10-F16.2,MED327
4111-2147-5077-3085,982,11/26,945-28-2534,D5526395,P2786645,50326509,146994372,DE531907998069455647,PT579312,ICD10-F71.7,MED278
4111-6685-8506-9489,988,09/31,581-84-1121,D3691978,P4484886,31625072,510836779,DE949677152789990764,PT251411,ICD10-F55.3,MED396
4111-3422-8848-6831,142,09/24,913-41-8212,D6015731,P9852771,17168190,639865682,DE535388780294485230,PT131995,ICD10-F53.2,MED133
4111-2102-4551-9259,130,01/25,713-48-2331,D8491347,P1316441,74402925,199765953,DE392954823855407856,PT184719,ICD10-F37.7,MED182
4111-9547-7784-8815,372,09/33,864-29-5098,D2884966,P1685709,65200458,163786174,DE716274460663813963,PT724599,ICD10-F14.4,MED519
4111-6252-6175-5582,653,07/34,206-49-8630,D8981193,P1030188,52642706,288959981,DE865906279205810245,PT448309,ICD10-F20.5,MED192
4111-7539-7584-7215,865,07/31,254-20-7116,D7904226,P3766271,24223485,741853341,DE565337543557419711,PT412460,ICD10-F20.5,MED871
4111-9334-8921-1972,386,02/28,850-24-6292,D3246294,P2210434,69222525,574544232,DE599195033043183162,PT956751,ICD10-F45.0,MED207
4111-2940-9218-6170,892,02/30,435-64-8208,D5229916,P3031149,42413817,149868449,DE435956962957801790,PT195688,ICD10-F37.0,MED416
4111-5943-5399-6474,158,06/32,809-24-6304,D9421094,P4327623,74858795,433087250,DE558890367801227853,PT665446,ICD10-F29.1,MED250
4111-8473-3335-6959,462,09/27,958-11-5052,D9586955,P1225147,81226637,666366915,DE738817253918699911,PT628676,ICD10-F75.3,MED385
4111-5895-7525-4907,410,05/24,477-45-3866,D5575275,P1346577,37308555,703945980,DE441763261495937707,PT391569,ICD10-F75.7,MED115
4111-1356-9282-7025,564,08/25,853-28-8257,D1295967,P1083334,11872337,705888980,DE805944605190532157,PT851142,ICD10-F76.1,MED436
4111-2446-4732-2707,752,07/29,841-16-5506,D6155642,P4797278,45466562,628338003,DE482770090997923325,PT189426,ICD10-F23.2,MED242
