card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-7906-6314-1662,357,10/34,220-27-8850,D5818306,P1744047,65200806,265824643,DE776433555633168145,PT727125,ICD10-F40.3,MED168
4111-9886-7949-1847,232,02/34,106-56-1536,D6337999,P2731620,42878857,218081538,DE123433367798522751,PT808205,ICD10-F38.7,MED247
4111-4898-1589-9907,960,03/27,566-23-4116,D1021553,P6560675,12100236,449056135,DE664599216364229470,PT993639,ICD10-F64.2,MED534
4111-6970-4736-8099,972,11/28,998-49-2925,D2870475,P6052607,33612198,782098137,DE437403045444021712,PT967890,ICD10-F29.7,MED825
4111-3102-9821-8670,204,10/26,772-42-4317,D8183699,P4007120,72435763,857415629,DE809373027570458809,PT556538,ICD10-F90.6,MED255
4111-7248-6213-2997,504,04/33,739-66-1600,D6621742,P1530661,41981699,655267827,DE592436989756923577,PT328511,ICD10-F54.8,MED976
4111-8454-6495-9743,586,07/30,507-94-8069,D6367422,P5144037,18909613,431954113,DE153429514217854106,PT499621,ICD10-F56.7,MED914
4111-9276-6123-4166,876,04/28,846-45-5114,D1579589,P2674029,52921264,124937231,DE851388574965836350,PT139882,ICD10-F41.2,MED167
4111-5238-5374-5152,463,07/29,438-29-9183,D7198385,P9792654,82907888,111432165,DE128218810320564038,PT934521,ICD10-F26.2,MED669
4111-5344-8434-8335,624,11/34,782-57-7239,D6610738,P5020548,20465369,807846029,DE587215598085184088,PT320568,ICD10-F32.1,MED111
4111-4447-6694-7609,559,11/29,396-19-5613,D7858915,P1486890,54127807,758363893,DE568488942881682540,PT441128,ICD10-F92.8,MED116
4111-7224-5005-7752,794,01/29,336-60-7680,D2417592,P7668389,88378893,480200258,DE744502727828345024,PT811259,ICD10-F23.4,MED511
4111-9144-7843-6074,547,03/27,889-44-6241,D5776861,P4973043,53680514,296973318,DE723829090952729552,PT164495,ICD10-F56.0,MED324
4111-8067-6187-8178,721,11/31,740-86-9952,D9490347,P2520398,10755053,385137603,DE507740662790133581,PT122060,ICD10-F17.8,MED312
4111-8868-5260-8629,387,11/26,284-21-2868,D2072352,P5943206,69975993,135433195,DE259508999984622863,PT206825,ICD10-F20.3,MED789
4111-7854-7829-9765,768,04/25,763-63-2684,D1022683,P7255162,50487827,873515828,DE686976336906730096,PT909608,ICD10-F26.6,MED113
4111-7082-6620-9519,755,11/32,636-36-9301,D2498167,P8359434,40709881,258002164,DE284514076444064290,PT983902,ICD10-F78.1,MED676
4111-3011-5165-5264,767,10/29,229-78-5517,D1488473,P2486266,59180340,559946458,DE631974605857543190,PT394005,ICD10-F43.1,MED982
4111-4327-7433-3752,111,04/30,564-27-2690,D7869667,P1428065,48368628,759853664,DE746469260944099144,PT311374,ICD10-F97.1,MED773
4111-9013-1741-8043,173,07/32,587-38-5253,D9330396,P9472071,55128015,510461618,DE117888874500161509,PT648902,ICD10-F46.5,MED910
4111-2958-3895-9485,281,08/31,337-67-4788,D2604392,P7548576,54159489,402508383,DE965850723654485670,PT480386,ICD10-F25.8,MED642
4111-8466-4925-8152,552,10/29,615-17-2629,D4046470,P4775313,57378968,237644206,DE437155511192264746,PT809050,ICD10-F66.2,MED530
4111-7016-7859-3086,398,05/31,150-19-9980,D1415354,P1475478,32392911,993570827,DE655709391978660525,PT588662,ICD10-F17.2,MED955
4111-7713-7519-9357,233,11/26,738-10-2651,D2505358,P6943084,49624087,940067391,DE325148028085596375,PT175859,ICD10-F84.1,MED380
4111-7061-8467-1569,680,07/28,799-65-6757,D7714232,P5012962,30591994,905315747,DE584880606916572613,PT410733,ICD10-F33.4,MED704
4111-5308-6790-3800,389,04/24,496-39-2305,D3557656,P3620466,54986153,482913326,DE889701581031606204,PT466344,ICD10-F47.8,MED521
4111-6814-6805-7657,113,11/25,418-53-5468,D7531563,P6836641,73643359,610037248,DE659133934568165036,PT806790,ICD10-F93.4,MED704
4111-9463-3352-9050,199,08/33,639-80-5568,D7079219,P8056335,54586379,957842486,DE843683288428980072,PT946477,ICD10-F38.2,MED732
4111-2709-7488-7335,565,03/32,501-90-5958,D6407864,P1951980,63068620,621578110,DE456436572887248398,PT600512,ICD10-F36.2,MED421
4111-5362-4638-9163,520,10/25,976-92-7614,D6555632,P4911565,65210257,753310014,DE831612158413829502,PT928075,ICD10-F69.4,MED188
4111-4083-8217-5203,821,11/27,867-31-3630,D4917675,P8186047,79135678,658651149,DE796454332540439903,PT964012,ICD10-F91.3,MED456
4111-6914-6285-3099,739,05/27,197-12-3328,D4906195,P2987863,83834569,258341645,DE331672856528800443,PT299054,ICD10-F23.1,MED501
4111-5602-7380-7756,201,10/25,598-33-6199,D1395675,P6166792,31279522,296791985,DE883938652291456886,PT607146,ICD10-F46.8,MED968
4111-2054-1835-9098,578,06/31,705-26-7710,D8016197,P6651333,24989097,947310005,DE262463841997781167,PT152878,ICD10-F42.6,MED666
4111-7732-7659-4303,940,06/33,630-39-5853,D4130650,P8242838,15863947,807995419,DE288494498335909765,PT392666,ICD10-F95.3,MED886
4111-3424-1653-1954,276,05/34,795-41-2205,D7855870,P5996126,97413878,525239640,DE634668196862665977,PT901507,ICD10-F89.2,MED863
4111-6571-6766-7795,390,07/28,910-50-4033,D8327146,P1183024,99192738,261892390,DE886676718330176413,PT145579,ICD10-F29.4,MED511
4111-8747-5773-1267,280,02/28,811-67-7526,D4581506,P1354245,20888699,885579031,DE668871696185160389,PT533819,ICD10-F54.6,MED728
4111-9916-4470-5423,660,07/33,211-45-3180,D5018787,P4014272,51843114,155664542,DE197644202028224338,PT313334,ICD10-F30.3,MED162
4111-9654-6496-1128,497,01/27,584-31-4112,D4110682,P7485424,44258838,661255353,DE848011839045834153,PT318342,ICD10-F85.4,MED164
4111-9969-1826-5056,780,07/24,619-97-6111,D9909914,P5047350,44791775,902944691,DE164211955795118912,PT318412,ICD10-F26.7,MED427
4111-7438-8077-6818,761,10/26,741-17-1489,D8962135,P8528066,63064044,973706885,DE215501535033377704,PT939873,ICD10-F14.3,MED114
4111-7296-7578-9003,212,07/31,126-98-7502,D3224551,P5156447,68205144,126061446,DE899119424281206190,PT682778,ICD10-F72.6,MED129
4111-7808-8711-8798,296,09/26,276-12-5647,D7169791,P2077014,90485828,427074748,DE699714827478161102,PT320148,ICD10-F39.3,MED590
4111-2406-3301-8508,684,01/32,395-18-8967,D2614725,P8899986,86021719,783144675,DE142483847202723700,PT810064,ICD10-F86.6,MED968
4111-7788-9748-6864,442,04/30,342-83-7109,D7059269,P1794604,42885465,278905394,DE147979667374817700,PT998395,ICD10-F22.1,MED843
4111-3998-8044-2138,603,03/26,279-27-7773,D6602405,P8763614,30191149,134551266,DE916799685649355012,PT531666,ICD10-F54.3,MED851
4111-6235-1104-4776,937,01/30,109-44-5486,D4467859,P1895450,22315180,310193246,DE209853872223989472,PT588027,ICD10-F94.3,MED921
4111-5147-6370-5708,962,04/24,513-87-5811,D2959313,P3577241,36420742,479616646,DE904414685541754582,PT356351,ICD10-F81.5,MED245
4111-1126-9680-9497,786,09/33,794-66-7730,D7707300,P1613532,66354610,966680373,DE602381991830812100,PT449269,ICD10-F10.3,MED927
4111-1518-9722-7801,838,01/24,498-46-6591,D5590493,P4643265,95943141,170727451,DE387039685608440638,PT320701,ICD10-F68.0,MED606
4111-7128-3599-3761,914,11/30,538-31-5616,D9426015,P1171683,10449149,296628571,DE242866616049723526,PT101023,ICD10-F38.6,MED522
4111-6690-8778-2405,480,04/34,646-83-9048,D6382667,P7187371,66926834,781882871,DE633621700028805171,PT516168,ICD10-F58.0,MED417
4111-7720-2460-9589,606,01/32,451-77-8990,D6556233,P5815110,90445863,766508255,DE524648822889582067,PT399184,ICD10-F22.2,MED313
4111-8590-2129-9302,145,04/33,124-24-1425,D3949710,P6898912,38122038,169652906,DE335774029071870359,PT511509,ICD10-F58.7,MED998
4111-1079-4405-6509,269,09/25,779-10-9015,D9847124,P4222458,73080243,645583775,DE537547995735968090,PT994774,ICD10-F55.0,MED504
4111-3607-3659-7062,415,07/31,348-16-2004,D4433742,P8335247,99727101,308109965,DE259918170939051696,PT398609,ICD10-F44.2,MED376
4111-6573-4088-1113,815,10/28,417-85-8488,D3374438,P9285732,58998118,333229574,DE619316118435683235,PT795663,ICD10-F18.2,MED679
4111-6035-7451-8074,803,03/25,827-34-8429,D1279003,P4262099,96867436,129937691,DE966065167837190296,PT182481,ICD10-F47.5,MED970
4111-5001-1383-2106,924,09/34,744-78-9722,D6172363,P4546634,71545374,822677175,DE706926070050082931,PT958731,ICD10-F95.0,MED485
4111-3999-3656-2685,912,08/32,677-30-3902,D5221585,P5553366,38159754,532586403,DE788990412797550235,PT806778,ICD10-F93.2,MED291
4111-1644-4913-4126,751,05/26,496-57-4065,D4878651,P1637085,37318783,674478874,DE396757696231254262,PT836919,ICD10-F64.6,MED536
4111-7125-9278-2834,761,05/24,873-56-9964,D8259201,P7827607,84381169,514075174,DE942792018046057863,PT115541,ICD10-F54.6,MED367
4111-9593-9847-1975,192,02/33,829-48-5231,D2322898,P6794214,66415279,816655961,DE673028763078584727,PT654035,ICD10-F34.4,MED945
4111-8063-6402-2232,811,06/33,179-68-1788,D4980685,P6542412,71221768,938436307,DE451585137365565251,PT732007,ICD10-F66.1,MED735
4111-7861-8696-6365,752,07/33,425-12-6618,D4110164,P2116047,89679105,227949148,DE147297389837273192,PT910160,ICD10-F71.7,MED519
4111-4773-4305-1252,885,11/24,594-68-7178,D9802118,P7818362,91978382,722264860,DE182549695364784446,PT893568,ICD10-F32.3,MED632
4111-6141-3112-7004,342,07/27,805-29-7839,D4382007,P5581258,52305949,716520245,DE874748230318515852,PT922312,ICD10-F73.1,MED244
4111-7007-8608-7136,164,10/29,286-73-6127,D4317818,P8030029,72005489,950608117,DE596713753948204157,PT346468,ICD10-F30.1,MED189
4111-9087-4147-6909,115,07/28,423-22-5383,D8400360,P9435426,45132544,753241131,DE888075186487888954,PT902198,ICD10-F80.5,MED862
4111-4535-7708-4196,981,06/31,405-39-1293,D2791286,P3200669,20950537,341740428,DE456949057084277706,PT716494,ICD10-F10.6,MED884
4111-4081-2243-2303,838,08/33,952-35-9213,D9681984,P5093302,11254553,303387551,DE857518318413018037,PT508229,ICD10-F62.6,MED582
4111-7649-4703-8387,750,01/33,805-75-3090,D5204646,P8109777,58329979,218151228,DE241315151525862496,PT643785,ICD10-F29.5,MED899
4111-9494-6680-4558,532,10/24,454-65-6400,D7832887,P8410568,66382448,268202410,DE955682691165914014,PT420567,ICD10-F50.0,MED485
4111-4264-3592-3237,167,01/31,609-36-7845,D9669915,P9624233,13016766,105144972,DE867377850773399424,PT205427,ICD10-F32.3,MED167
4111-3333-3627-6634,211,03/32,550-43-3100,D2393685,P5756011,33792723,569952109,DE739328303005616107,PT652184,ICD10-F31.1,MED683
